,date,state,death,deathConfirmed,deathIncrease,hospitalized,hospitalizedCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
24,3/7/21,MI,16658.0,15666.0,0,,866.0,656072.0,0,549881.0,10621967.0,0
80,3/6/21,MI,16658.0,15666.0,57,,866.0,656072.0,1692,549881.0,10621967.0,37232
136,3/5/21,MI,16601.0,15610.0,12,,866.0,654380.0,1791,541258.0,10584735.0,46112
192,3/4/21,MI,16589.0,15600.0,39,,890.0,652589.0,1827,541258.0,10538623.0,46486
248,3/3/21,MI,16550.0,15563.0,6,,882.0,650762.0,1705,541258.0,10492137.0,36453
304,3/2/21,MI,16544.0,15558.0,25,,959.0,649057.0,1642,541258.0,10455684.0,19406
360,3/1/21,MI,16519.0,15534.0,11,,893.0,647415.0,1865,541258.0,10436278.0,48387
416,2/28/21,MI,16508.0,15522.0,0,,841.0,645550.0,0,541258.0,10387891.0,0
472,2/27/21,MI,16508.0,15522.0,70,,841.0,645550.0,1425,541258.0,10387891.0,36981
528,2/26/21,MI,16438.0,15454.0,2,,841.0,644125.0,1257,529080.0,10350910.0,41966
584,2/25/21,MI,16436.0,15453.0,47,,821.0,642868.0,1598,529080.0,10308944.0,50160
640,2/24/21,MI,16389.0,15405.0,9,,855.0,641270.0,1558,529080.0,10258784.0,41891
696,2/23/21,MI,16380.0,15396.0,37,,891.0,639712.0,1784,529080.0,10216893.0,25490
752,2/22/21,MI,16343.0,15362.0,1,,841.0,637928.0,1659,529080.0,10191403.0,46336
808,2/21/21,MI,16342.0,15359.0,0,,860.0,636269.0,0,529080.0,10145067.0,0
864,2/20/21,MI,16342.0,15359.0,68,,860.0,636269.0,823,529080.0,10145067.0,39029
920,2/19/21,MI,16274.0,15296.0,23,,860.0,635446.0,1473,517991.0,10106038.0,38083
976,2/18/21,MI,16251.0,15273.0,91,,877.0,633973.0,1201,517991.0,10067955.0,32529
1032,2/17/21,MI,16160.0,15188.0,11,,929.0,632772.0,1240,517991.0,10035426.0,28292
1088,2/16/21,MI,16149.0,15177.0,19,,939.0,631532.0,1124,517991.0,10007134.0,17169
1144,2/15/21,MI,16130.0,15158.0,11,,957.0,630408.0,1452,517991.0,9989965.0,51616
1200,2/14/21,MI,16119.0,15150.0,0,,1024.0,628956.0,0,517991.0,9938349.0,0
1256,2/13/21,MI,16119.0,15150.0,92,,1024.0,628956.0,944,517991.0,9938349.0,34182
1312,2/12/21,MI,16027.0,15062.0,8,,1024.0,628012.0,1535,498495.0,9904167.0,41708
1368,2/11/21,MI,16019.0,15052.0,80,,1061.0,626477.0,1507,498495.0,9862459.0,48676
1424,2/10/21,MI,15939.0,14977.0,14,,1175.0,624970.0,1239,498495.0,9813783.0,34376
1480,2/9/21,MI,15925.0,14965.0,62,,1175.0,623731.0,918,498495.0,9779407.0,18303
1536,2/8/21,MI,15863.0,14905.0,9,,1211.0,622813.0,2128,498495.0,9761104.0,52588
1592,2/7/21,MI,15854.0,14894.0,0,,1296.0,620685.0,0,498495.0,9708516.0,0
1648,2/6/21,MI,15854.0,14894.0,104,,1296.0,620685.0,1186,498495.0,9708516.0,37025
1704,2/5/21,MI,15750.0,14798.0,25,,1296.0,619499.0,1754,481801.0,9671491.0,47633
